CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
20800,56.04532998,-3.7577984910000004,21.0,89.6,10732.0,53.6,1964.4,670.8
20801,58.601483200000004,-3.5435299910000007,11.0,32.4,2649.8,25.4,419.6,117.4
20803,57.449528386,-1.8131889788,1.0,17.6,6572.8,129.4,1332.6,823.6
20804,56.20924570000001,-3.452506056,1.2,38.4,4441.8,69.6,888.0,678.4
20805,56.120722750000006,-3.700107894,2.2,69.4,3668.6,14.8,1163.4,665.0
20806,56.03618019,-3.4219215680000006,108.0,61.2,10357.0,35.0,1449.0,1350.6
20809,55.866170190000005,-4.22275752,0.0,325.0,121003.2,1806.4,24133.6,8700.0
20811,55.85242949,-4.333813763999999,0.0,479.0,100320.0,1204.8,15621.0,8068.0
20812,56.04366610999999,-3.810702535,0.0,1057.6,43096.2,157.2,8031.0,6804.6
20813,56.274599699999996,-3.395227673,0.0,116.8,19605.8,265.6,3924.6,2217.6
20814,55.89789946,-4.490111473,24.8,20.4,4798.2,51.8,686.8,197.4
20815,55.85243253,-4.309847733,96.0,26.8,8432.8,46.4,1658.0,287.6
20816,55.85493242,-4.247680648999999,87.8,38.2,11180.4,324.8,1893.6,360.4
20817,55.865489839999995,-4.235504613,220.2,63.6,12712.8,700.2,1691.0,358.2
20818,58.64043711000001,-3.068721156,53.2,28.0,637.6,37.4,101.0,9.8
20819,56.69737794,-3.716226399,10.4,74.4,4355.0,95.4,777.6,159.6
20820,56.10562042,-3.932607187,27.0,31.4,13139.6,92.8,1778.6,370.4
20821,55.93550154,-3.1693012019999998,316.4,100.6,16291.6,478.0,1925.2,171.8
